1,CCODE,GDPPCC_2014
Aruba,ABW,
Andorra,AND,
Afghanistan,AFG,-1.049105959
Angola,AGO,0.559093566
Albania,ALB,2.001777663
Arab World,ARB,0.077395073
United Arab Emirates,ARE,3.079113047
Argentina,ARG,-0.563303534
Armenia,ARM,2.91976153
American Samoa,ASM,
Antigua and Barbuda,ATG,2.182476884
Australia,AUS,0.883226875
Austria,AUT,-0.347029209
Azerbaijan,AZE,0.705758746
Burundi,BDI,1.265698051
Belgium,BEL,0.684886294
Benin,BEN,2.622647213
Burkina Faso,BFA,1.064514638
Bangladesh,BGD,4.835365706
Bulgaria,BGR,2.251896737
Bahrain,BHR,3.547385966
"Bahamas, The",BHS,-0.352037769
Bosnia and Herzegovina,BIH,1.404593112
Belarus,BLR,1.544892305
Belize,BLZ,
Bermuda,BMU,
Bolivia,BOL,3.782895606
Brazil,BRA,-0.739013099
Barbados,BRB,-0.102651631
Brunei Darussalam,BRN,3.812811636
Bhutan,BTN,4.815698443
Botswana,BWA,2.378351096
Central African Republic,CAF,-0.958401737
Canada,CAN,1.429393593
Central Europe and the Baltics,CEB,2.911146605
Switzerland,CHE,
Channel Islands,CHI,
Chile,CHL,0.822404979
China,CHN,6.808843125
Cote d'Ivoire,CIV,6.365603248
Cameroon,CMR,3.273904275
"Congo, Rep.",COG,3.9297533
Colombia,COL,3.570164915
Comoros,COM,0.556425261
Cabo Verde,CPV,1.409202539
Costa Rica,CRI,2.3890768
Caribbean small states,CSS,
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,-1.35572443
Czech Republic,CZE,2.027579323
Germany,DEU,1.298021009
Djibouti,DJI,4.100214099
Dominica,DMA,1.953062799
Denmark,DNK,0.692548051
Dominican Republic,DOM,6.05625704
Algeria,DZA,2.099514767
East Asia & Pacific (developing only),EAP,6.054588784
East Asia & Pacific (all income levels),EAS,2.913075514
Europe & Central Asia (developing only),ECA,1.388239638
Europe & Central Asia (all income levels),ECS,0.852499256
Ecuador,ECU,2.225073897
"Egypt, Arab Rep.",EGY,-0.042704997
Euro area,EMU,0.419492454
Eritrea,ERI,-0.517919255
Spain,ESP,1.860093151
Estonia,EST,2.420807388
Ethiopia,ETH,7.214428564
European Union,EUU,0.944366471
Fragile and conflict affected situations,FCS,-4.365619953
Finland,FIN,-0.564276595
Fiji,FJI,3.101564294
France,FRA,-0.246279613
Faeroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,1.9934623
United Kingdom,GBR,1.911429471
Georgia,GEO,4.373344396
Ghana,GHA,1.758584224
Guinea,GIN,-2.954238956
"Gambia, The",GMB,-3.374927288
Guinea-Bissau,GNB,0.070054246
Equatorial Guinea,GNQ,-5.916929301
Greece,GRC,1.416216702
Grenada,GRD,1.086893939
Greenland,GRL,
Guatemala,GTM,2.128171448
Guam,GUM,
Guyana,GUY,3.43967541
High income,HIC,1.106109881
"Hong Kong SAR, China",HKG,1.734075698
Honduras,HND,2.019349301
Heavily indebted poor countries (HIPC),HPC,2.895201418
Croatia,HRV,0.053803263
Haiti,HTI,1.38160537
Hungary,HUN,3.965524153
Indonesia,IDN,3.7094556
Isle of Man,IMN,
India,IND,6.107046147
Not classified,INX,
Ireland,IRL,4.464823919
"Iran, Islamic Rep.",IRN,0.171764686
Iraq,IRQ,-9.200134076
Iceland,ISL,0.681962575
Israel,ISR,0.817800479
Italy,ITA,-2.215803655
Jamaica,JAM,
Jordan,JOR,0.80252665
Japan,JPN,0.058033492
Kazakhstan,KAZ,2.768683855
Kenya,KEN,2.579553104
Kyrgyz Republic,KGZ,1.567982848
Cambodia,KHM,5.289024221
Kiribati,KIR,1.234011153
St. Kitts and Nevis,KNA,5.094765301
"Korea, Rep.",KOR,2.891600135
Kosovo,KSV,2.217635981
Kuwait,KWT,
Latin America & Caribbean (developing only),LAC,0.614504362
Lao PDR,LAO,5.701965993
Lebanon,LBN,0.803487484
Liberia,LBR,-1.851303089
Libya,LBY,-23.94595956
St. Lucia,LCA,-2.31335849
Latin America & Caribbean (all income levels),LCN,0.225536726
Least developed countries: UN classification,LDC,2.963539071
Low income,LIC,3.406731392
Liechtenstein,LIE,
Sri Lanka,LKA,6.555884021
Lower middle income,LMC,4.228490753
Low & middle income,LMY,3.431353743
Lesotho,LSO,0.719697327
Lithuania,LTU,3.946784483
Luxembourg,LUX,
Latvia,LVA,3.508292804
"Macao SAR, China",MAC,-2.052722193
St. Martin (French part),MAF,
Morocco,MAR,1.127428357
Monaco,MCO,
Moldova,MDA,4.663705882
Madagascar,MDG,0.146079821
Maldives,MDV,5.664874817
Middle East & North Africa (all income levels),MEA,0.191319006
Mexico,MEX,0.784342694
Marshall Islands,MHL,
Middle income,MIC,3.57321127
"Macedonia, FYR",MKD,3.61347839
Mali,MLI,4.122537677
Malta,MLT,
Myanmar,MMR,7.579215108
Middle East & North Africa (developing only),MNA,-1.898408911
Montenegro,MNE,1.428372768
Mongolia,MNG,5.945345691
Northern Mariana Islands,MNP,
Mozambique,MOZ,4.417295094
Mauritania,MRT,3.820065624
Mauritius,MUS,3.412590054
Malawi,MWI,2.501969765
Malaysia,MYS,4.48462693
North America,NAC,1.608220923
Namibia,NAM,2.029523429
New Caledonia,NCL,
Niger,NER,2.678902991
Nigeria,NGA,3.518654246
Nicaragua,NIC,3.514241251
Netherlands,NLD,0.576148804
High income: nonOECD,NOC,1.096416489
Norway,NOR,1.103173151
Nepal,NPL,4.204055151
New Zealand,NZL,
High income: OECD,OEC,1.152897353
OECD members,OED,1.062450125
Oman,OMN,
Other small states,OSS,1.133108256
Pakistan,PAK,3.217697004
Panama,PAN,4.463901594
Peru,PER,1.003504568
Philippines,PHL,4.418890651
Palau,PLW,7.041161072
Papua New Guinea,PNG,
Poland,POL,3.491483619
Puerto Rico,PRI,
"Korea, Dem. Rep.",PRK,
Portugal,PRT,1.472388929
Paraguay,PRY,2.967041857
Pacific island small states,PSS,2.065725913
French Polynesia,PYF,
Qatar,QAT,2.693991692
Romania,ROU,2.128088803
Russian Federation,RUS,-1.139392061
Rwanda,RWA,4.478851004
South Asia,SAS,5.692459546
Saudi Arabia,SAU,1.171349302
Sudan,SDN,0.891776042
Senegal,SEN,0.71949055
Singapore,SGP,1.591854849
Solomon Islands,SLB,-0.530276246
Sierra Leone,SLE,4.665121004
El Salvador,SLV,1.698360727
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,-1.334834775
Sub-Saharan Africa (developing only),SSA,1.52463233
South Sudan,SSD,30.93665758
Sub-Saharan Africa (all income levels),SSF,1.453478054
Small states,SST,1.202652322
Sao Tome and Principe,STP,2.013109283
Suriname,SUR,
Slovak Republic,SVK,2.313022761
Slovenia,SVN,2.523980712
Sweden,SWE,1.337141043
Swaziland,SWZ,0.975736266
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,0.937801689
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,3.815232175
Togo,TGO,2.938916505
Thailand,THA,0.302547154
Tajikistan,TJK,4.333377971
Turkmenistan,TKM,8.905434684
Timor-Leste,TLS,3.83662329
Tonga,TON,1.711527415
Trinidad and Tobago,TTO,
Tunisia,TUN,
Turkey,TUR,1.617456589
Tuvalu,TUV,
"Taiwan, China",TWN,
Tanzania,TZA,3.800459218
Uganda,UGA,1.163756689
Ukraine,UKR,-0.84985749
Upper middle income,UMC,3.651238515
Uruguay,URY,3.148921995
United States,USA,1.630559556
Uzbekistan,UZB,6.34430902
St. Vincent and the Grenadines,VCT,-0.481765049
"Venezuela, RB",VEN,-5.305936454
Virgin Islands (U.S.),VIR,
Vietnam,VNM,4.790885875
Vanuatu,VUT,
West Bank and Gaza,PSE,-4.370038798
World,WLD,1.258516687
Samoa,WSM,0.426592693
"Yemen, Rep.",YEM,
South Africa,ZAF,-0.062765939
"Congo, Dem. Rep.",COD,5.661810221
Zambia,ZMB,2.795614669
Zimbabwe,ZWE,0.814909572
