Country,data_year,p4_score,CCode,IU_2014,GDPPCC_2014
Afghanistan,2014,-1,AFG,6.39,-1.049105959
Albania,2014,9,ALB,60.1,2.001777663
Algeria,2014,2,DZA,18.09,2.099514767
Angola,2014,-2,AGO,21.26,0.559093566
Argentina,2014,8,ARG,64.7,-0.563303534
Armenia,2014,5,ARM,46.3,2.91976153
Australia,2014,10,AUS,84.56,0.883226875
Austria,2014,10,AUT,81,-0.347029209
Azerbaijan,2014,-7,AZE,61,0.705758746
Bahrain,2014,-10,BHR,90.99998,3.547385966
Belgium,2014,8,BEL,85,0.684886294
Benin,2014,7,BEN,5.3,2.622647213
Burkina Faso,2014,0,BFA,9.4,1.064514638
Bhutan,2014,5,BTN,34.37,4.815698443
Belarus,2014,-7,BLR,59.02,1.544892305
Bangladesh,2014,1,BGD,9.6,4.835365706
Bolivia,2014,7,BOL,39.02,3.782895606
Bosnia and Herzegovina,2014,,BIH,60.8,1.404593112
Botswana,2014,8,BWA,18.5,2.378351096
Brazil,2014,8,BRA,57.6,-0.739013099
Burundi,2014,6,BDI,1.38,1.265698051
Bulgaria,2014,9,BGR,55.49,2.251896737
Cambodia,2014,2,KHM,9,5.289024221
Canada,2014,10,CAN,87.12,1.429393593
Cameroon,2014,-4,CMR,11,3.273904275
Cape Verde,2014,10,CPV,40.26,1.409202539
Central African Republic,2014,0,CAF,4.03,-0.958401737
Chad,2014,-2,TCD,2.5,3.815232175
Chile,2014,10,CHL,72.35,0.822404979
China,2014,-7,CHN,49.3,6.808843125
Colombia,2014,7,COL,52.57,3.570164915
Comoros,2014,9,COM,6.98,0.556425261
Republic of the Congo,2014,-4,COG,7.11,3.9297533
Costa Rica,2014,10,CRI,49.41,2.3890768
Croatia,2014,9,HRV,68.57,0.053803263
Cuba,2014,-7,CUB,30,
Cyprus,2014,10,CYP,69.33,-1.35572443
Czech Republic,2014,9,CZE,79.71,2.027579323
Denmark,2014,10,DNK,95.99,0.692548051
Djibouti,2014,4,DJI,10.71,4.100214099
Dominican Republic,2014,8,DOM,49.58,6.05625704
Ecuador,2014,5,ECU,43,2.225073897
Egypt,2014,-4,EGY,,-0.042704997
Equatorial Guinea,2014,-5,GNQ,18.86,-5.916929301
Eritrea,2014,-7,ERI,0.99,-0.517919255
Estonia,2014,9,EST,84.24,2.420807388
Ethiopia,2014,-3,ETH,2.9,7.214428564
East Timor,2014,7,TLS,1.14,3.83662329
Finland,2014,10,FIN,92.38,-0.564276595
Fiji,2014,2,FJI,41.8,3.101564294
France,2014,9,FRA,83.75,-0.246279613
Gabon,2014,3,GAB,9.81,1.9934623
Gambia,2014,-5,GMB,15.56,-3.374927288
Ghana,2014,8,GHA,18.9,1.758584224
